date,opposition,result,competition,season,scorer,assist,url,pen
2018/07/25,bayern,1-0,icc,2018-19,favilli,marchisio,6SKi6PA,
2018/07/25,bayern,2-0,icc,2018-19,favilli,sandro,qejx7Q8,
2018/07/28,benfica,1-1,icc,2018-19,clemenza,de sciglio,hwnG8j7,
2018/08/01,mls allstars,1-0,allstars,2018-19,favilli,pereira,D44hzPN,
2018/08/04,real madrid,1-0,icc,2018-19,own goal,carvajal,YBCZYnf,
2018/08/18,chievo,1-0,serie a,2018-19,khedira,chiellini,Ux4vrtF,
2018/08/18,chievo,2-2,serie a,2018-19,own goal,bani,8xNRdF7,
2018/08/18,chievo,3-2,serie a,2018-19,bernardeschi,sandro,R4bl5mF,
2018/08/25,lazio,1-0,serie a,2018-19,pjanic,,4iMeVQ7,
2018/08/25,lazio,2-0,serie a,2018-19,mandzukic,ronaldo,rwHDP3g,
2018/09/01,parma,1-0,serie a,2018-19,mandzukic,,0WoGVVx,
2018/09/01,parma,2-1,serie a,2018-19,matuidi,mandzukic,wmdyqUu,
2018/09/16,sassuolo,1-0,serie a,2018-19,ronaldo,,fgeJTL1,
2018/09/16,sassuolo,2-0,serie a,2018-19,ronaldo,can,8IVD6pr,
2018/09/19,valencia,1-0,ucl,2018-19,pjanic,penalty,exzpmGp,
2018/09/19,valencia,2-0,ucl,2018-19,pjanic,penalty,WRpU2So,
2018/09/23,frosinone,1-0,serie a,2018-19,ronaldo,,vm9GZQu,
2018/09/23,frosinone,2-0,serie a,2018-19,bernardeschi,pjanic,E4Zoyk4,
2018/09/26,bologna,1-0,serie a,2018-19,dybala,,lZJ4E1i,
2018/09/26,bologna,2-0,serie a,2018-19,matuidi,ronaldo,mzHIRso,
2018/09/29,napoli,1-1,serie a,2018-19,mandzukic,ronaldo,FNApzAi,
2018/09/29,napoli,2-1,serie a,2018-19,mandzukic,ronaldo,GTfJ25C,
2018/09/29,napoli,3-1,serie a,2018-19,bonucci,ronaldo,1dIWNJu,
2018/10/02,young boys,3-0,ucl,2018-19,dybala,bonucci,ztSS5VC,
2018/10/02,young boys,3-0,ucl,2018-19,dybala,,NcGUQx0,
2018/10/02,young boys,3-0,ucl,2018-19,dybala,cuadrado,8nF8x14,
2018/10/06,udinese,1-0,serie a,2018-19,bentancur,cancelo,lj4GxdJ,
2018/10/06,udinese,2-0,serie a,2018-19,ronaldo,mandzukic,rlmgwhn,
2018/10/20,genoa,1-0,serie a,2018-19,ronaldo,,wjN7qfR,
2018/10/23,manchester united,1-0,ucl,2018-19,dybala,,K5ztqep,
,,,,,,,,
2012/08/11,napoli,1-1,supercoppa,2012-13,asamoah,vidal??,,
2012/08/11,napoli,2-2,supercoppa,2012-13,vidal,penalty,,
2012/08/11,napoli,3-2,supercoppa,2012-13,own goal,maggio,,
2012/08/11,napoli,4-2,supercoppa,2012-13,vucinic,marchisio??,,
2012/08/25,parma,1-0,serie a,2012-13,lichtsteiner,asamoah,,
2012/08/25,parma,2-0,serie a,2012-13,pirlo,freekick,,
2012/09/02,udinese,1-0,serie a,2012-13,vidal,,,
2012/09/02,udinese,2-0,serie a,2012-13,vucinic,asamoah,,
2012/09/02,udinese,3-0,serie a,2012-13,giovinco,,,
2012/09/02,udinese,4-0,serie a,2012-13,giovinco,pirlo,,
2012/09/15,genoa,1-1,serie a,2012-13,giaccherini,vucinic,,
2012/09/15,genoa,2-1,serie a,2012-13,vucinic,penalty,,
2012/09/15,genoa,3-1,serie a,2012-13,asamoah,,,
2012/09/19,chelsea,1-2,ucl,2012-13,vidal,?,,
2012/09/19,chelsea,2-2,ucl,2012-13,quagliarella,marchisio??,,
2012/09/22,chievo,1-0,serie a,2012-13,quagliarella,giaccherini,,
2012/09/22,chievo,2-0,serie a,2012-13,quagliarella,asamoah,,
2012/09/29,roma,1-0,serie a,2012-13,pirlo,freekick,,
2012/09/29,roma,2-0,serie a,2012-13,vidal,penalty,,
2012/09/29,roma,3-0,serie a,2012-13,matri,vidal,,
2012/09/29,roma,4-1,serie a,2012-13,giovinco,barzagli,,
2012/10/02,shakhtar,1-1,ucl,2012-13,bonucci,pirlo,,
2012/10/07,siena,1-0,serie a,2012-13,pirlo,freekick,,
2012/10/07,siena,2-1,serie a,2012-13,marchisio,chiellini,,
2012/10/20,napoli,1-0,serie a,2012-13,caceres,pirlo,,
2012/10/20,napoli,2-0,serie a,2012-13,pogba,,,
2012/10/23,nordsjaelland,1-1,ucl,2012-13,vucinic,isla,,
2012/10/27,catania,1-0,serie a,2012-13,vidal,,,
2012/10/31,bologna,1-0,serie a,2012-13,quagliarella,giaccherini,,
2012/10/31,bologna,2-1,serie a,2012-13,pogba,giovinco,,
2012/11/03,inter,1-0,serie a,2012-13,vidal,asamoah,,
2012/11/07,nordsjaelland,1-0,ucl,2012-13,marchisio,isla,,
2012/11/07,nordsjaelland,2-0,ucl,2012-13,vidal,,,
2012/11/07,nordsjaelland,3-0,ucl,2012-13,giovinco,pirlo,,
2012/11/07,nordsjaelland,4-0,ucl,2012-13,quagliarella,matri,,
2012/11/10,pescara,1-0,serie a,2012-13,vidal,giovinco,,
2012/11/10,pescara,2-0,serie a,2012-13,quagliarella,isla,,
2012/11/10,pescara,3-1,serie a,2012-13,asamoah,,,
2012/11/10,pescara,4-1,serie a,2012-13,giovinco,quagliarella,,
2012/11/10,pescara,5-1,serie a,2012-13,quagliarella,vidal,,
2012/11/10,pescara,6-1,serie a,2012-13,quagliarella,pirlo,,
2012/11/20,chelsea,1-0,ucl,2012-13,quagliarella,pirlo,,
2012/11/20,chelsea,2-0,ucl,2012-13,vidal,asamoah,,
2012/11/20,chelsea,3-0,ucl,2012-13,giovinco,vidal,,
2012/12/01,torino,1-0,serie a,2012-13,marchisio,giovinco,,
2012/12/01,torino,2-0,serie a,2012-13,giovinco,vucinic,,
2012/12/01,torino,3-0,serie a,2012-13,marchisio,vucinic,,
2012/12/05,shakhtar,1-0,ucl,2012-13,own goal,kucher,,
2012/12/09,palermo,1-0,serie a,2012-13,lichtsteiner,vucinic,,
2012/12/12,cagliari,1-0,coppa,2012-13,giovinco,???,,
2012/12/16,atalanta,1-0,serie a,2012-13,vucinic,giovinco,,
2012/12/16,atalanta,2-0,serie a,2012-13,pirlo,freekick,,
2012/12/16,atalanta,3-0,serie a,2012-13,marchisio,chiellini,,
2012/12/21,cagliari,1-1,serie a,2012-13,matri,,,
2012/12/21,cagliari,2-1,serie a,2012-13,matri,vidal,,
2012/12/21,cagliari,3-1,serie a,2012-13,vucinic,giovinco,,
2013/01/06,sampdoria,1-0,serie a,2012-13,giovinco,penalty,,
2013/01/09,milan,1-1,coppa,2012-13,giovinco,?,,
2013/01/09,milan,2-1,coppa,2012-13,vucinic,?,,
2013/01/13,parma,1-0,serie a,2012-13,pirlo,freekick,,
2013/01/19,udinese,1-0,serie a,2012-13,pogba,,,
2013/01/19,udinese,2-0,serie a,2012-13,pogba,vidal,,
2013/01/19,udinese,3-0,serie a,2012-13,vucinic,vidal,,
2013/01/19,udinese,4-0,serie a,2012-13,matri,vucinic,,
2013/01/22,lazio,1-0,coppa,2012-13,peluso,?,,
2013/01/26,genoa,1-0,serie a,2012-13,quagliarella,lichtsteiner,,
2013/01/29,lazio,1-1,coppa,2012-13,vidal,?,,
2013/02/02,chievo,1-0,serie a,2012-13,matri,vidal,,
2013/02/02,chievo,2-0,serie a,2012-13,lichtsteiner,giovinco,,
2013/02/09,fiorentina,1-0,serie a,2012-13,vucinic,,,
2013/02/09,fiorentina,2-0,serie a,2012-13,matri,vidal,,
2013/02/12,celtic,1-0,ucl,2012-13,matri,?,,
2013/02/12,celtic,2-0,ucl,2012-13,marchisio,matri,,
2013/02/12,celtic,3-0,ucl,2012-13,vucinic,marchisio,,
2013/02/24,siena,1-0,serie a,2012-13,lichtsteiner,,,
2013/02/24,siena,2-0,serie a,2012-13,giovinco,pirlo,,
2013/02/24,siena,3-0,serie a,2012-13,pogba,giaccherini,,
2013/03/01,napoli,1-0,serie a,2012-13,chiellini,pirlo,,
2013/03/06,celtic,1-0,ucl,2012-13,matri,,,
2013/03/06,celtic,2-0,ucl,2012-13,quagliarella,vidal,,
2013/03/10,catania,1-0,serie a,2012-13,giaccherini,,,
2013/03/16,bologna,1-0,serie a,2012-13,vucinic,marchisio,,
2013/03/16,bologna,2-0,serie a,2012-13,marchisio,vucinic,,
2013/03/30,inter,1-0,serie a,2012-13,quagliarella,asamoah,,
2013/03/30,inter,2-1,serie a,2012-13,matri,quagliarella,,
2013/04/06,pescara,1-0,serie a,2012-13,vucinic,penalty,,
2013/04/06,pescara,2-0,serie a,2012-13,vucinic,asamoah,,
2013/04/15,lazio,1-0,serie a,2012-13,vidal,penalty,,
2013/04/15,lazio,2-0,serie a,2012-13,vidal,,,
2013/04/21,milan,1-0,serie a,2012-13,vidal,penalty,,
2013/04/27,torino,1-0,serie a,2012-13,vidal,,,
2013/04/27,torino,2-0,serie a,2012-13,marchisio,quagliarella,,
2013/05/04,palermo,1-0,serie a,2012-13,vidal,penalty,,
2013/05/08,atalanta,1-0,serie a,2012-13,matri,pirlo,,
2013/05/11,cagliari,1-1,serie a,2012-13,vucinic,vidal,,
2013/05/18,sampdoria,1-0,serie a,2012-13,quagliarella,pirlo,,
2013/05/18,sampdoria,2-3,serie a,2012-13,giaccherini,lichtsteiner,,
